순번,국토부 코드,정산 코드,정류장 코드,정류장명,행정구역코드,시도명,시군구명,읍면동명,버스안내단말기 설치유무,와이좌표,엑스좌표
56,183002032,8007018,14350,가오고등학교,3011010500,대전광역시,동구,가오동,O,36.309402,127.45509
57,183002029,8007070,14360,가오동,3011010500,대전광역시,동구,가오동,X,36.308586,127.45133
58,183002254,8005568,10530,신흥동종점,3011010600,대전광역시,동구,신흥동,X,36.322105,127.44365
59,183002256,8002152,10540,신흥동주민센터,3011010600,대전광역시,동구,신흥동,X,36.32323,127.44382
60,183002255,8002572,10550,어진마을아파트,3011010600,대전광역시,동구,신흥동,O,36.320877,127.44382
61,183002257,8002570,10560,신흥마을아파트정문,3011010600,대전광역시,동구,신흥동,O,36.32078,127.44406
62,183002258,8002150,10570,신흥동시외버스정류소,3011010600,대전광역시,동구,신흥동,O,36.322495,127.44479
63,183002260,8002151,10580,신흥동시외버스정류소,3011010600,대전광역시,동구,신흥동,O,36.322445,127.44515
64,183002261,8002573,10600,신흥마을아파트,3011010600,대전광역시,동구,신흥동,O,36.321133,127.44586
65,183002259,8002571,10610,신흥마을아파트후문,3011010600,대전광역시,동구,신흥동,O,36.32126,127.44515
66,183002416,8002153,10630,신흥역,3011010700,대전광역시,동구,판암동,O,36.31937,127.44914
67,183002417,8002154,10640,신흥역,3011010700,대전광역시,동구,판암동,O,36.31929,127.44983
68,183002418,8002817,10650,판암근린공원,3011010700,대전광역시,동구,판암동,O,36.317993,127.45208
69,183002419,8002818,10660,판암근린공원,3011010700,대전광역시,동구,판암동,O,36.318115,127.45234
70,183002420,8001670,10670,미리내아파트,3011010700,대전광역시,동구,판암동,O,36.31688,127.45562
71,183002421,8002822,10680,판암역네거리,3011010700,대전광역시,동구,판암동,O,36.317104,127.455795
72,183002422,8002816,10690,판암역네거리,3011010700,대전광역시,동구,판암동,O,36.317326,127.45653
73,183002423,8002819,10700,판암2동주민센터,3011010700,대전광역시,동구,판암동,O,36.3198,127.45705
74,183002424,8002825,10720,판암주공4단지,3011010700,대전광역시,동구,판암동,O,36.32119,127.45874
75,183002425,8002451,10730,은어송마을3단지후문,3011010700,대전광역시,동구,판암동,O,36.312267,127.45926
76,183002428,8002823,10740,판암역,3011010700,대전광역시,동구,판암동,O,36.316902,127.459305
77,183002427,8002826,10750,판암주공5단지,3011010700,대전광역시,동구,판암동,O,36.32224,127.45975
78,183002426,8002824,10760,판암역,3011010700,대전광역시,동구,판암동,O,36.31727,127.45966
79,183002429,8002625,10770,판암테크노타운,3011010700,대전광역시,동구,판암동,O,36.32215,127.461494
80,183002430,8002829,10780,판암네거리,3011010700,대전광역시,동구,판암동,O,36.31825,127.46168
81,183002432,8002820,10790,판암동성당,3011010700,대전광역시,동구,판암동,O,36.319996,127.461815
82,183002431,8002828,10800,판암네거리,3011010700,대전광역시,동구,판암동,O,36.318077,127.461815
83,183002433,8002821,10810,판암동성당,3011010700,대전광역시,동구,판암동,O,36.31991,127.46227
84,183002434,8002830,10830,판암IC,3011010700,대전광역시,동구,판암동,X,36.318832,127.468475
85,183002164,8001391,10840,판암차량기지,3011010800,대전광역시,동구,삼정동,O,36.32133,127.471565
86,183002163,8001390,10850,판암차량기지,3011010800,대전광역시,동구,삼정동,X,36.32036,127.47139
87,183002165,8001879,10860,삼정동,3011010800,대전광역시,동구,삼정동,O,36.325794,127.47292
88,183002166,8001880,10870,삼정동,3011010800,대전광역시,동구,삼정동,O,36.325916,127.47342
89,183002167,8001545,12670,대전동신과학고,3011010800,대전광역시,동구,삼정동,O,36.33145,127.47566
90,183002169,8006000,12670,대전동신과학고,3011010800,대전광역시,동구,삼정동,X,36.33222,127.476906
91,183002170,8001546,12680,대전동신과학고,3011010800,대전광역시,동구,삼정동,O,36.332317,127.47736
92,183002171,8001810,12690,비룡동입구,3011010800,대전광역시,동구,삼정동,X,36.332767,127.47757
93,183002268,8002295,10880,한밭여중입구,3011010900,대전광역시,동구,용운동,X,36.32737,127.44761
94,183002270,8002286,10890,용방마을아파트,3011010900,대전광역시,동구,용운동,O,36.326893,127.4507
95,183002269,8002289,10900,용방마을아파트,3011010900,대전광역시,동구,용운동,O,36.327393,127.45037
96,183002272,8002341,10910,우송대동캠퍼스,3011010900,대전광역시,동구,용운동,O,36.333096,127.453415
97,183002273,8002307,10920,용운주공2단지,3011010900,대전광역시,동구,용운동,O,36.32833,127.453545
98,183002275,8002342,10930,용수골,3011010900,대전광역시,동구,용운동,X,36.332783,127.454346
99,183002274,8002287,10940,용운종합사회복지관,3011010900,대전광역시,동구,용운동,O,36.327587,127.45379
100,183002277,8002305,10950,용운마젤란아파트,3011010900,대전광역시,동구,용운동,O,36.337708,127.45729
101,183002280,8001381,10960,대전대학교입구,3011010900,대전광역시,동구,용운동,O,36.32818,127.45814
102,183002276,8001234,10970,꿈에그린아파트,3011010900,대전광역시,동구,용운동,O,36.333107,127.45718
103,183002279,8002304,10980,용운마젤란아파트,3011010900,대전광역시,동구,용운동,O,36.338184,127.457634
104,183002278,8001236,10990,꿈에그린아파트,3011010900,대전광역시,동구,용운동,O,36.333054,127.457306
105,183002281,8001383,11000,대전대학교입구,3011010900,대전광역시,동구,용운동,X,36.328743,127.45931
106,183002283,8002296,11020,용운동주민센터,3011010900,대전광역시,동구,용운동,O,36.327988,127.46078
107,183002284,8001379,11030,대전대학교,3011010900,대전광역시,동구,용운동,X,36.3307,127.460594
108,183002285,8002299,11040,용운초등학교,3011010900,대전광역시,동구,용운동,O,36.32687,127.4616
109,183002286,8002301,11050,용운동주민센터,3011010900,대전광역시,동구,용운동,X,36.32833,127.461784
110,183002287,8001617,11060,용운도서관,3011010900,대전광역시,동구,용운동,X,36.324986,127.46193
111,183002288,8001618,11070,용운도서관,3011010900,대전광역시,동구,용운동,O,36.32468,127.462204
112,183002289,8001619,11080,모리아파트,3011010900,대전광역시,동구,용운동,X,36.323086,127.46233
113,183002290,8002308,11090,에코포레아파트,3011010900,대전광역시,동구,용운동,O,36.3304,127.463135
114,183002293,8001384,11100,대전대학교,3011010900,대전광역시,동구,용운동,X,36.33268,127.46375
115,183002298,8002298,11110,용운국제수영장,3011010900,대전광역시,동구,용운동,O,36.324577,127.46516
116,183002299,8002297,11120,용운국제수영장,3011010900,대전광역시,동구,용운동,O,36.324547,127.46535
117,183002300,8001907,11130,새울,3011010900,대전광역시,동구,용운동,O,36.330772,127.46579
118,183002302,8001760,11140,에코포레아파트,3011010900,대전광역시,동구,용운동,O,36.328133,127.46638
119,183002301,8001908,11150,새울,3011010900,대전광역시,동구,용운동,X,36.330875,127.46608
120,183002303,8001761,11160,복음아파트,3011010900,대전광역시,동구,용운동,O,36.3285,127.46664
121,183002282,8001382,11010,대전대학교입구,3011010900,대전광역시,동구,용운동,O,36.32804,127.45949
122,183002294,8007062,14250,대전대학교,3011010900,대전광역시,동구,용운동,X,36.33303,127.46375
123,183002271,8003051,14280,우송대동캠퍼스,3011010900,대전광역시,동구,용운동,O,36.33291,127.453545
124,183002295,8005988,14520,대전대학교동문,3011010900,대전광역시,동구,용운동,O,36.335354,127.4638
125,183002291,8005989,14530,대전대학교동문,3011010900,대전광역시,동구,용운동,O,36.33537,127.46358
126,183002078,8002727,10590,충남중학교,3011011000,대전광역시,동구,대동,O,36.324642,127.44547
127,183002070,8005881,11170,대동역2번출구,3011011000,대전광역시,동구,대동,O,36.328762,127.44144
128,183002071,8001348,11180,대동역3번출구,3011011000,대전광역시,동구,대동,O,36.32906,127.441734
129,183002072,8001344,11200,새들뫼아파트,3011011000,대전광역시,동구,대동,O,36.328083,127.44307
130,183002073,8001349,11210,대동역7번출구,3011011000,대전광역시,동구,대동,O,36.33028,127.44373
131,183002076,8001351,11220,펜타뷰아파트,3011011000,대전광역시,동구,대동,O,36.328777,127.44422
132,183002075,8001345,11230,충남중네거리,3011011000,대전광역시,동구,대동,O,36.327457,127.44421
133,183002077,8002344,11240,우송고등학교,3011011000,대전광역시,동구,대동,O,36.333046,127.4454
134,183002079,8002728,11250,충남중학교,3011011000,대전광역시,동구,대동,O,36.3247,127.44583
135,183002080,8002290,11260,대동초등학교,3011011000,대전광역시,동구,대동,O,36.325996,127.447266
136,183002081,8001352,11270,대동초등학교,3011011000,대전광역시,동구,대동,O,36.326206,127.44738
137,183002074,8002488,11280,자양초등학교,3011011000,대전광역시,동구,대동,O,36.33128,127.44392
138,183002343,8002345,11290,우송고등학교,3011011100,대전광역시,동구,자양동,O,36.33445,127.44585
139,183002344,8002340,11300,우송대삼거리,3011011100,대전광역시,동구,자양동,O,36.336014,127.44718
140,183002345,8002339,11310,우송대학교서캠퍼스,3011011100,대전광역시,동구,자양동,O,36.337547,127.44774
141,183002346,8002485,11320,자양동,3011011100,대전광역시,동구,자양동,O,36.34058,127.448616
142,183002347,8001445,11330,대주파크빌,3011011100,대전광역시,동구,자양동,O,36.342396,127.4488
143,183002348,8002343,11340,우송어학센터,3011011100,대전광역시,동구,자양동,O,36.339973,127.44899
144,183002349,8002486,11350,자양동주민센터,3011011100,대전광역시,동구,자양동,O,36.335636,127.44929
145,183002350,8002487,11360,자양동주민센터,3011011100,대전광역시,동구,자양동,O,36.335342,127.44951
146,183002351,8001548,11370,동아마이스터고,3011011100,대전광역시,동구,자양동,O,36.344177,127.45187
147,183002014,8001444,11600,대주파크빌,3011011100,대전광역시,동구,자양동,O,36.34312,127.44945
148,183002020,8001547,11660,동아마이스터고,3011011100,대전광역시,동구,자양동,O,36.34487,127.45285
149,183002238,8002155,11380,이스트시티아파트,3011011200,대전광역시,동구,신안동,O,36.328053,127.439354
150,183002239,8002156,11390,대전화병원,3011011200,대전광역시,동구,신안동,O,36.328274,127.439354
151,183002240,8002114,11400,신안동,3011011200,대전광역시,동구,신안동,O,36.33171,127.440285
152,183002210,8005504,11410,대전역동광장,3011011300,대전광역시,동구,소제동,X,36.33353,127.43734
153,183002214,8005621,11420,대전역동광장종점,3011011300,대전광역시,동구,소제동,X,36.332615,127.43771
154,183002219,8001422,11420,대전역동광장,3011011300,대전광역시,동구,소제동,X,36.33362,127.43908
155,183002217,8005548,11430,대전역동광장,3011011300,대전광역시,동구,소제동,X,36.33362,127.43908
156,183002220,8002040,11450,중앙동주민센터,3011011300,대전광역시,동구,소제동,O,36.335583,127.43895
157,183002222,8002039,11460,중앙동주민센터,3011011300,대전광역시,동구,소제동,O,36.33516,127.43944
158,183002223,8002115,11470,신안동,3011011300,대전광역시,동구,소제동,O,36.33159,127.440704
159,183002001,8001365,12350,대성여자고등학교,3011011300,대전광역시,동구,소제동,O,36.33699,127.43872
160,183002216,8001366,12360,대성여자고등학교,3011011300,대전광역시,동구,소제동,O,36.337444,127.43807
161,187001395,8007268,14630,대전역동광장,3011011300,대전광역시,동구,소제동,X,36.333817,127.43729
162,183002002,8001970,11480,아침마을아파트,3011011400,대전광역시,동구,가양동,O,36.34226,127.43931
163,183002003,8001533,11490,동부네거리,3011011400,대전광역시,동구,가양동,O,36.350216,127.44048
164,183002004,8001228,11500,가양초등학교,3011011400,대전광역시,동구,가양동,O,36.343613,127.44162
165,183002005,8001229,11510,가양초등학교,3011011400,대전광역시,동구,가양동,O,36.344067,127.443184
166,183002006,8002899,11520,동대전시립도서관,3011011400,대전광역시,동구,가양동,O,36.348995,127.443214
167,183002007,8002898,11530,동대전시립도서관,3011011400,대전광역시,동구,가양동,O,36.348614,127.443924
168,183002008,8001035,11540,가양네거리,3011011400,대전광역시,동구,가양동,O,36.346535,127.444756
169,183002009,8001036,11550,가양네거리,3011011400,대전광역시,동구,가양동,O,36.34641,127.445335
170,183002010,8001037,11560,흥룡초등학교,3011011400,대전광역시,동구,가양동,O,36.34435,127.44649
171,183002011,8001040,11570,가양동우체국,3011011400,대전광역시,동구,가양동,O,36.346153,127.44707
172,183002012,8001034,11580,가양네거리,3011011400,대전광역시,동구,가양동,O,36.34603,127.44739
173,183002013,8001443,11590,대주파크빌,3011011400,대전광역시,동구,가양동,O,36.342636,127.44803
174,183002016,8001400,11610,대전보건대학교,3011011400,대전광역시,동구,가양동,O,36.348354,127.45088
175,183002015,8002843,11620,평화아파트,3011011400,대전광역시,동구,가양동,O,36.354103,127.450836
176,183002017,8001401,11630,대전보건대학교,3011011400,대전광역시,동구,가양동,O,36.34831,127.45116
177,183002018,8002893,11640,한국폴리텍대학,3011011400,대전광역시,동구,가양동,O,36.350567,127.452126
178,183002019,8002894,11650,한국폴리텍대학,3011011400,대전광역시,동구,가양동,O,36.350624,127.45245
179,183002021,8001403,11670,대전보건대학교,3011011400,대전광역시,동구,가양동,O,36.34843,127.45379
180,183002022,8001402,11680,대전보건대학교,3011011400,대전광역시,동구,가양동,O,36.348534,127.45397
181,183002023,8001612,11690,명석고등학교,3011011400,대전광역시,동구,가양동,O,36.354073,127.45417
182,183002024,8002346,11700,우암사적공원,3011011400,대전광역시,동구,가양동,O,36.346542,127.45544
183,183002025,8002347,11710,우암사적공원,3011011400,대전광역시,동구,가양동,O,36.346783,127.456085
184,183002193,8001995,12000,성남네거리,3011011400,대전광역시,동구,가양동,O,36.341225,127.43724
185,183002304,8002946,11720,한숲아파트,3011011500,대전광역시,동구,용전동,O,36.35473,127.427666
186,183002305,8002310,11730,용전네거리,3011011500,대전광역시,동구,용전동,O,36.349922,127.43197
187,183002306,8002316,11740,대전지방국토관리청,3011011500,대전광역시,동구,용전동,O,36.35224,127.4322
188,183002309,8002315,11750,용전동주민센터,3011011500,대전광역시,동구,용전동,O,36.358025,127.43249
189,183002308,8002311,11760,용전네거리,3011011500,대전광역시,동구,용전동,O,36.350033,127.43247
190,183002307,8002313,11770,용전초등학교입구,3011011500,대전광역시,동구,용전동,O,36.3551,127.43244
191,183002310,8002317,11780,대전지방국토관리청,3011011500,대전광역시,동구,용전동,O,36.35209,127.43263
192,183002311,8002312,11790,용전초등학교입구,3011011500,대전광역시,동구,용전동,O,36.355015,127.43293
193,183002312,8002314,11800,용전동주민센터,3011011500,대전광역시,동구,용전동,O,36.357227,127.43301
194,183002313,8002880,11810,한국전력공사,3011011500,대전광역시,동구,용전동,O,36.357193,127.43447
195,183002314,8002881,11820,한국전력공사,3011011500,대전광역시,동구,용전동,O,36.357525,127.4347
196,183002315,8001096,11830,복합터미널,3011011500,대전광역시,동구,용전동,O,36.349014,127.43567
197,183002316,8002987,11840,대전문학관입구,3011011500,대전광역시,동구,용전동,O,36.355103,127.436966
198,183002317,8002986,11850,대전문학관입구,3011011500,대전광역시,동구,용전동,O,36.35508,127.437546
199,183002319,8001921,11860,한국전기공사협회,3011011500,대전광역시,동구,용전동,O,36.353367,127.43958
200,183002320,8001534,11870,동부네거리,3011011500,대전광역시,동구,용전동,O,36.35043,127.43968
201,183002318,8001920,11880,구샤또호텔,3011011500,대전광역시,동구,용전동,O,36.35286,127.43957
202,183002184,8002994,11930,홍도지하차도,3011011600,대전광역시,동구,성남동,O,36.34603,127.43053
203,183002185,8002309,11940,효촌마을아파트,3011011600,대전광역시,동구,성남동,O,36.346275,127.43249
204,183002187,8003022,11950,효촌마을아파트,3011011600,대전광역시,동구,성남동,O,36.34516,127.43355
205,183002188,8001992,11960,스마트뷰아파트,3011011600,대전광역시,동구,성남동,O,36.343735,127.43398
206,183002189,8001994,11970,성남네거리,3011011600,대전광역시,동구,성남동,O,36.34042,127.43501
207,183002190,8001996,11980,성남네거리,3011011600,대전광역시,동구,성남동,O,36.3417,127.43559
208,183002191,8001993,11990,성남네거리,3011011600,대전광역시,동구,성남동,O,36.340137,127.43618
209,183002192,8001097,12010,복합터미널,3011011600,대전광역시,동구,성남동,O,36.349037,127.437195
210,183002194,8001038,12020,석촌마을아파트,3011011600,대전광역시,동구,성남동,O,36.34193,127.43802
211,187001243,8001088,12040,경덕중학교입구,3011011700,대전광역시,동구,홍도동,X,36.348564,127.42111
212,187001242,8002989,12050,홍도동,3011011700,대전광역시,동구,홍도동,X,36.34874,127.421074
213,183002449,8001087,12060,홍도지하보도,3011011700,대전광역시,동구,홍도동,X,36.34765,127.422035
214,183002448,8002988,12070,홍도지하보도,3011011700,대전광역시,동구,홍도동,O,36.34794,127.4216
215,183002450,8002991,12080,홍도동현암아파트,3011011700,대전광역시,동구,홍도동,X,36.344486,127.42376
216,183002451,8002990,12090,홍도동현암아파트,3011011700,대전광역시,동구,홍도동,X,36.344673,127.42378
217,183002452,8001085,12110,한남로삼거리,3011011700,대전광역시,동구,홍도동,O,36.351215,127.42663
218,183002453,8001086,12120,한남로삼거리,3011011700,대전광역시,동구,홍도동,O,36.35128,127.427414
219,183002454,8002158,12130,아리랑프라자,3011011700,대전광역시,동구,홍도동,O,36.34827,127.429344
220,183002455,8002993,12140,홍도지하차도,3011011700,대전광역시,동구,홍도동,O,36.346127,127.4301
221,183002456,8002157,12150,아리랑프라자,3011011700,대전광역시,동구,홍도동,O,36.34771,127.42996
222,183002158,8001873,11920,삼성네거리,3011011800,대전광역시,동구,삼성동,O,36.33878,127.428825
223,183002140,8002972,12160,현암시장,3011011800,대전광역시,동구,삼성동,O,36.34208,127.415535
224,183002141,8001870,12170,삼성2동,3011011800,대전광역시,동구,삼성동,X,36.339813,127.416626
225,183002142,8001741,12180,현암초등학교,3011011800,대전광역시,동구,삼성동,O,36.34197,127.41941
226,183002144,8002971,12190,현암교,3011011800,대전광역시,동구,삼성동,O,36.340084,127.420074
227,183002143,8005855,12200,현암초등학교,3011011800,대전광역시,동구,삼성동,O,36.342396,127.42001
228,183002145,8002970,12210,현암교,3011011800,대전광역시,동구,삼성동,O,36.33962,127.42015
229,183002147,8002621,12230,삼성동행정복지센터,3011011800,대전광역시,동구,삼성동,O,36.339466,127.42235
230,183002149,8002622,12240,삼성동행정복지센터,3011011800,대전광역시,동구,삼성동,O,36.339497,127.42258
231,183002150,8001797,12250,북부교,3011011800,대전광역시,동구,삼성동,O,36.33825,127.42381
232,183002151,8001796,12260,북부교,3011011800,대전광역시,동구,삼성동,O,36.33818,127.42418
